cutoff,train_end,n_train,n_test,mae,rmse,smape
1988-08-01,1988-07-01,222,12,32.25,40.12792045446661,33.43542017795616
1989-02-01,1989-01-01,228,12,42.75,60.43109023231888,50.85659153916032
1989-08-01,1989-07-01,234,12,45.916666666666664,62.214012355202854,51.826818707351485
1990-02-01,1990-01-01,240,12,44.25,55.510509515466225,38.98442737210196
1990-08-01,1990-07-01,246,12,51.916666666666664,64.99038390408231,44.94527994698159
1991-02-01,1991-01-01,252,12,40.916666666666664,56.694355980114985,44.28066196079507
1991-08-01,1991-07-01,258,12,40.75,53.334635400772484,48.38073904347516
1992-02-01,1992-01-01,264,12,57.083333333333336,64.58134405538492,52.20442286645945
1992-08-01,1992-07-01,270,12,73.5,77.79460135510689,59.05906533748242
1993-02-01,1993-01-01,276,12,89.83333333333333,102.23665357069027,200.0
1993-08-01,1993-07-01,282,12,69.41666666666667,89.78817665297957,200.0
1994-02-01,1994-01-01,288,12,27.083333333333332,31.63463292026636,188.40116279069767
1994-08-01,1994-07-01,294,12,18.666666666666668,21.905098341101628,124.68967876594252
1995-02-01,1995-01-01,300,12,13.25,17.269916039170543,48.58686940122565
1995-08-01,1995-07-01,306,12,10.5,14.611639196202457,53.766758706260475
1996-02-01,1996-01-01,312,12,21.75,27.287054317630794,77.99969449596298
1996-08-01,1996-07-01,318,12,27.916666666666668,31.276988346066826,75.11959280285868
1997-02-01,1997-01-01,324,12,24.5,27.682726262659415,51.27590531824162
1997-08-01,1997-07-01,330,12,34.583333333333336,40.11545836706842,46.16970399126496
1998-02-01,1998-01-01,336,12,49.166666666666664,54.1894823743501,130.83307431928938
1998-08-01,1998-07-01,342,12,30.666666666666668,41.922547632509165,123.17285659299205
1999-02-01,1999-01-01,348,12,8.083333333333334,10.665364503850771,104.93627281819873
1999-08-01,1999-07-01,354,12,8.083333333333334,10.380269746013347,85.96757445249862
2000-02-01,2000-01-01,360,12,8.666666666666666,10.700467279516348,72.80257269596501
2000-08-01,2000-07-01,366,12,5.75,7.643079658532067,58.46188650220003
2001-02-01,2001-01-01,372,12,11.5,24.145392935299274,93.7601894329469
2001-08-01,2001-07-01,378,12,13.666666666666666,25.079872407968907,95.66226239354384
2002-02-01,2002-01-01,384,12,13.583333333333334,23.53543427826788,68.19131539699174
2002-08-01,2002-07-01,390,12,15.833333333333334,24.228082879171435,78.72666633738152
2003-02-01,2003-01-01,396,12,10.583333333333334,12.996794476587935,93.57447978137634
2003-08-01,2003-07-01,402,12,8.583333333333334,12.399596767637245,79.06283140837543
2004-02-01,2004-01-01,408,12,5.416666666666667,8.948929172439199,64.23075465836156
2004-08-01,2004-07-01,414,12,3.25,4.444097208657794,79.99872676343264
2005-02-01,2005-01-01,420,12,4.083333333333333,5.937171043518958,122.61487050960736
2005-08-01,2005-07-01,426,12,4.0,5.671566509057851,106.90883995231819
2006-02-01,2006-01-01,432,12,3.4166666666666665,5.024937810560445,66.23617123617123
2006-08-01,2006-07-01,438,12,4.5,5.94418483337567,94.66891133557802
2007-02-01,2007-01-01,444,12,5.083333333333333,5.894913061275798,125.22424242424242
2007-08-01,2007-07-01,450,12,6.5,8.093207028119323,132.8994125963823
2008-02-01,2008-01-01,456,12,8.75,9.928914005737653,114.57716260347838
2008-08-01,2008-07-01,462,12,7.833333333333333,8.95358401237553,81.61539457693306
2009-02-01,2009-01-01,468,12,4.833333333333333,6.231639698613306,42.71904826453375
2009-08-01,2009-07-01,474,12,4.833333333333333,6.041522986797286,32.518900478281864
2010-02-01,2010-01-01,480,12,6.333333333333333,7.106335201775948,48.153853508762936
2010-08-01,2010-07-01,486,12,6.416666666666667,7.664854858377946,48.50776110391743
2011-02-01,2011-01-01,492,12,6.666666666666667,7.863417408056966,44.29177090234783
2011-08-01,2011-07-01,498,12,6.666666666666667,8.07258735887489,66.81794432874032
2012-02-01,2012-01-01,504,12,9.5,11.423659658795863,116.79154998258447
2012-08-01,2012-07-01,510,12,8.416666666666666,10.35615758860399,91.30587360688337
2013-02-01,2013-01-01,516,12,6.083333333333333,6.910137480542627,47.46719642327419
2013-08-01,2013-07-01,522,12,9.0,10.303721010715822,59.190228033134176
2014-02-01,2014-01-01,528,12,11.25,13.394650673558704,65.90543418339116
2014-08-01,2014-07-01,534,12,10.333333333333334,13.272779161376365,52.100584054341844
2015-02-01,2015-01-01,540,12,10.333333333333334,12.871156384205214,43.7383885574469
2015-08-01,2015-07-01,546,12,12.166666666666666,14.508618128546908,69.5347037510214
2016-02-01,2016-01-01,552,12,8.583333333333334,11.74379268663521,60.70145627299471
2016-08-01,2016-07-01,558,12,4.5,5.552777082985894,40.263308825688085
