cutoff,train_end,n_train,n_test,mae,rmse,smape
1994-06-01,1994-05-01,282,12,1.1666666666666667,1.9578900207451218,125.0
1994-12-01,1994-11-01,288,12,1.5,2.273030282830976,101.14285714285714
1995-06-01,1995-05-01,294,12,1.3333333333333333,1.9578900207451218,108.46560846560847
1995-12-01,1995-11-01,300,12,1.3333333333333333,1.8257418583505538,82.7233372687918
1996-06-01,1996-05-01,306,12,1.5,1.8708286933869707,83.48794063079778
1996-12-01,1996-11-01,312,12,1.3333333333333333,2.309401076758503,99.99999999999999
1997-06-01,1997-05-01,318,12,1.1666666666666667,2.1984843263788196,97.43589743589743
1997-12-01,1997-11-01,324,12,0.6666666666666666,1.0,100.0
1998-06-01,1998-05-01,330,12,0.6666666666666666,1.35400640077266,93.33333333333333
1998-12-01,1998-11-01,336,12,0.8333333333333334,1.5275252316519468,117.64705882352942
1999-06-01,1999-05-01,342,12,0.8333333333333334,1.5275252316519468,100.0
1999-12-01,1999-11-01,348,12,1.1666666666666667,1.7320508075688772,128.57142857142858
2000-06-01,2000-05-01,354,12,0.8333333333333334,1.2909944487358056,114.28571428571428
2000-12-01,2000-11-01,360,12,0.25,0.6454972243679028,30.76923076923077
2001-06-01,2001-05-01,366,12,0.3333333333333333,0.7071067811865476,46.15384615384615
2001-12-01,2001-11-01,372,12,0.5,0.816496580927726,83.33333333333334
2002-06-01,2002-05-01,378,12,0.8333333333333334,1.224744871391589,128.57142857142858
2002-12-01,2002-11-01,384,12,0.5833333333333334,1.0408329997330663,100.0
2003-06-01,2003-05-01,390,12,0.5,1.0,66.66666666666666
2003-12-01,2003-11-01,396,12,0.3333333333333333,0.9128709291752769,33.33333333333333
2004-06-01,2004-05-01,402,12,0.0,0.0,0.0
2004-12-01,2004-11-01,408,12,0.0,0.0,0.0
2005-06-01,2005-05-01,414,12,0.08333333333333333,0.28867513459481287,16.666666666666664
2005-12-01,2005-11-01,420,12,0.16666666666666666,0.408248290463863,33.33333333333333
2006-06-01,2006-05-01,426,12,0.16666666666666666,0.408248290463863,33.33333333333333
2006-12-01,2006-11-01,432,12,0.25,0.5,50.0
