cutoff,train_end,n_train,n_test,mae,rmse,smape
1973-02-01,1973-01-01,36,12,1.4166666666666667,2.327373340628157,133.33333333333331
1973-08-01,1973-07-01,42,12,1.0833333333333333,2.179449471770337,107.6923076923077
1974-02-01,1974-01-01,48,12,0.3333333333333333,0.7071067811865476,61.53846153846154
1974-08-01,1974-07-01,54,12,0.5,0.816496580927726,83.33333333333334
1975-02-01,1975-01-01,60,12,0.6666666666666666,1.0,107.6923076923077
1975-08-01,1975-07-01,66,12,0.9166666666666666,1.2583057392117916,146.66666666666666
1976-02-01,1976-01-01,72,12,0.9166666666666666,1.2583057392117916,128.88888888888889
1976-08-01,1976-07-01,78,12,0.9166666666666666,1.3228756555322954,109.52380952380952
1977-02-01,1977-01-01,84,12,1.1666666666666667,1.5811388300841898,141.1764705882353
1977-08-01,1977-07-01,90,12,1.25,1.6583123951777,147.36842105263156
1978-02-01,1978-01-01,96,12,3.6666666666666665,6.454972243679028,148.24342324342322
1978-08-01,1978-07-01,102,12,7.0,8.934950102453474,156.3288258133619
1979-02-01,1979-01-01,108,12,6.833333333333333,8.878813734578134,149.14731732913552
1979-08-01,1979-07-01,114,12,5.166666666666667,7.756717518813397,51.17011383678051
1980-02-01,1980-01-01,120,12,5.5,7.52772652709081,105.75518773165831
1980-08-01,1980-07-01,126,12,4.916666666666667,6.861729616746301,127.98703319711724
1981-02-01,1981-01-01,132,12,4.333333333333333,6.013872850889571,85.97882447164746
1981-08-01,1981-07-01,138,12,4.583333333333333,6.317963807008288,124.10883268778004
1982-02-01,1982-01-01,144,12,2.9166666666666665,4.252450274057691,109.80555555555553
1982-08-01,1982-07-01,150,12,3.1666666666666665,5.033222956847166,120.00000000000001
1983-02-01,1983-01-01,156,12,3.5,5.180090089306685,156.6183574879227
1983-08-01,1983-07-01,162,12,2.4166666666666665,3.013856886670854,138.12289562289564
1984-02-01,1984-01-01,168,12,2.5,3.1622776601683795,132.85799168152107
1984-08-01,1984-07-01,174,12,4.0,5.916079783099616,128.60418241370624
1985-02-01,1985-01-01,180,12,6.583333333333333,10.111874208078342,138.8185888185888
1985-08-01,1985-07-01,186,12,8.083333333333334,11.109305408830323,132.3766919883425
1986-02-01,1986-01-01,192,12,9.416666666666666,11.821590417536889,113.51517549433036
1986-08-01,1986-07-01,198,12,9.666666666666666,13.178264933847197,107.93159346692408
1987-02-01,1987-01-01,204,12,7.75,10.789655539759677,90.79233352805481
1987-08-01,1987-07-01,210,12,8.416666666666666,11.629703349613008,75.42437523547697
1988-02-01,1988-01-01,216,12,8.25,11.912878185672287,70.16417612795055
1988-08-01,1988-07-01,222,12,8.666666666666666,11.232393630329497,57.487108725272286
1989-02-01,1989-01-01,228,12,12.166666666666666,13.790093062291735,93.46346876551225
1989-08-01,1989-07-01,234,12,11.25,14.13329402510257,92.3562351696814
1990-02-01,1990-01-01,240,12,10.333333333333334,14.882876066137216,64.45620833026858
1990-08-01,1990-07-01,246,12,11.25,14.6087873099264,62.063224131343354
1991-02-01,1991-01-01,252,12,13.0,15.193200233437764,63.52417432172195
1991-08-01,1991-07-01,258,12,12.833333333333334,14.520101009749668,63.2257858808183
1992-02-01,1992-01-01,264,12,9.833333333333334,11.150485789118488,62.49951811983738
1992-08-01,1992-07-01,270,12,15.25,17.476174257161283,69.04160888598852
1993-02-01,1993-01-01,276,12,18.416666666666668,19.98541134594599,200.0
1993-08-01,1993-07-01,282,12,14.083333333333334,15.288884851420656,200.0
1994-02-01,1994-01-01,288,12,11.833333333333334,12.463279397226612,194.48275862068965
1994-08-01,1994-07-01,294,12,7.833333333333333,9.460443964212251,113.78465049947586
1995-02-01,1995-01-01,300,12,4.416666666666667,5.251983752196243,37.66760564651661
1995-08-01,1995-07-01,306,12,3.6666666666666665,4.08248290463863,32.50976857120995
1996-02-01,1996-01-01,312,12,7.333333333333333,11.8673220792786,66.6243833810536
1996-08-01,1996-07-01,318,12,10.0,14.053469322555197,77.35510834145714
1997-02-01,1997-01-01,324,12,10.0,14.713938969562161,63.051739458681276
1997-08-01,1997-07-01,330,12,13.583333333333334,17.816191138025733,90.59302832244008
1998-02-01,1998-01-01,336,12,10.333333333333334,13.347908700117284,110.96969696969697
1998-08-01,1998-07-01,342,12,5.75,6.800735254367722,124.59582084582084
1999-02-01,1999-01-01,348,12,5.75,7.342796923970229,116.37489573133138
1999-08-01,1999-07-01,354,12,7.083333333333333,9.420721840708387,82.45565110270992
2000-02-01,2000-01-01,360,12,12.833333333333334,18.65922470700931,96.30775064556248
2000-08-01,2000-07-01,366,12,13.833333333333334,19.78635893740938,95.6362049492459
2001-02-01,2001-01-01,372,12,18.25,25.368944269191285,98.61184835254024
2001-08-01,2001-07-01,378,12,15.333333333333334,23.636130534981113,95.79219342928218
2002-02-01,2002-01-01,384,12,11.333333333333334,18.133762249829275,65.76741329871561
2002-08-01,2002-07-01,390,12,16.25,21.615966321217286,106.7127641340805
2003-02-01,2003-01-01,396,12,11.833333333333334,14.843629385474879,117.29817404817406
2003-08-01,2003-07-01,402,12,12.416666666666666,14.551632210855248,118.70208327930155
2004-02-01,2004-01-01,408,12,11.833333333333334,13.753787357185171,121.75738915364218
2004-08-01,2004-07-01,414,12,9.333333333333334,10.91634859587521,98.02236910771423
2005-02-01,2005-01-01,420,12,12.583333333333334,15.93476283685034,93.47702344341
2005-08-01,2005-07-01,426,12,13.833333333333334,17.752934029806642,86.3470676688978
2006-02-01,2006-01-01,432,12,14.333333333333334,18.078532388812242,79.38447422254306
