cutoff,train_end,n_train,n_test,mae,rmse,smape
1973-12-01,1973-11-01,36,12,0.16666666666666666,0.408248290463863,33.33333333333333
1974-06-01,1974-05-01,42,12,0.25,0.6454972243679028,46.15384615384615
1974-12-01,1974-11-01,48,12,0.3333333333333333,0.7071067811865476,61.53846153846154
1975-06-01,1975-05-01,54,12,0.5,0.816496580927726,83.33333333333334
1975-12-01,1975-11-01,60,12,0.75,1.0408329997330663,123.07692307692308
1976-06-01,1976-05-01,66,12,0.5,0.816496580927726,92.3076923076923
1976-12-01,1976-11-01,72,12,0.3333333333333333,0.5773502691896257,55.55555555555556
1977-06-01,1977-05-01,78,12,0.25,0.5,38.88888888888889
1977-12-01,1977-11-01,84,12,0.3333333333333333,0.7071067811865476,61.53846153846154
1978-06-01,1978-05-01,90,12,1.0833333333333333,1.6072751268321592,136.8421052631579
1978-12-01,1978-11-01,96,12,2.3333333333333335,2.857738033247041,162.42424242424244
1979-06-01,1979-05-01,102,12,2.3333333333333335,2.857738033247041,145.625
1979-12-01,1979-11-01,108,12,2.3333333333333335,2.972092416687835,126.79738562091505
1980-06-01,1980-05-01,114,12,2.0,2.70801280154532,91.97530864197532
1980-12-01,1980-11-01,120,12,1.25,1.6072751268321592,110.14492753623189
1981-06-01,1981-05-01,126,12,1.5,1.8257418583505538,149.01960784313727
1981-12-01,1981-11-01,132,12,1.6666666666666667,1.9578900207451218,101.44927536231883
1982-06-01,1982-05-01,138,12,3.0833333333333335,4.481443219916251,136.29916183107673
1982-12-01,1982-11-01,144,12,3.9166666666666665,5.220153254455275,128.20907487574152
1983-06-01,1983-05-01,150,12,11.75,24.102212899787162,138.34128220868553
1983-12-01,1983-11-01,156,12,14.416666666666666,25.001666611114814,134.50365375365377
1984-06-01,1984-05-01,162,12,15.416666666666666,23.175058432144965,120.11547305288303
1984-12-01,1984-11-01,168,12,13.666666666666666,22.38302928559939,79.96886922721018
1985-06-01,1985-05-01,174,12,6.75,9.987492177719089,57.78120026153889
1985-12-01,1985-11-01,180,12,9.583333333333334,12.114041439585717,64.68975859389245
1986-06-01,1986-05-01,186,12,12.083333333333334,13.200378782444085,65.09524737479644
1986-12-01,1986-11-01,192,12,14.083333333333334,15.31067165955389,59.00593871922511
1987-06-01,1987-05-01,198,12,24.75,30.1951982937685,82.65859750453598
1987-12-01,1987-11-01,204,12,31.75,37.70610030220574,79.62554374560915
1988-06-01,1988-05-01,210,12,22.333333333333332,27.94339516474928,45.29130809779496
1988-12-01,1988-11-01,216,12,30.666666666666668,35.33883604949848,46.96023392792766
1989-06-01,1989-05-01,222,12,31.583333333333332,36.04279863347647,48.706637149626374
1989-12-01,1989-11-01,228,12,35.416666666666664,42.88453489701542,50.84260289600472
1990-06-01,1990-05-01,234,12,36.083333333333336,45.24470503090205,54.34079945524303
1990-12-01,1990-11-01,240,12,18.333333333333332,24.926558794453225,32.835834737466705
1991-06-01,1991-05-01,246,12,20.333333333333332,24.94326896512698,45.182755126442544
1991-12-01,1991-11-01,252,12,26.0,29.846831210923103,57.19618009815564
1992-06-01,1992-05-01,258,12,35.416666666666664,39.438771109996146,44.801254581524994
1992-12-01,1992-11-01,264,12,37.333333333333336,40.66734972103952,27.93840351979887
1993-06-01,1993-05-01,270,12,29.416666666666668,34.30621906690778,200.0
1993-12-01,1993-11-01,276,12,28.083333333333332,33.947263021732205,200.0
1994-06-01,1994-05-01,282,12,47.083333333333336,60.93507473806308,161.84662818220065
1994-12-01,1994-11-01,288,12,71.16666666666667,84.07139822793481,133.86322577509847
1995-06-01,1995-05-01,294,12,63.75,73.65969046907541,98.69568320478277
1995-12-01,1995-11-01,300,12,57.5,64.61552960911693,71.47072060748131
1996-06-01,1996-05-01,306,12,55.916666666666664,62.739540961023934,78.89928467274952
1996-12-01,1996-11-01,312,12,38.25,45.16912662427734,68.39587568212201
1997-06-01,1997-05-01,318,12,25.25,31.26899422750914,67.19274134469711
1997-12-01,1997-11-01,324,12,28.083333333333332,36.50684867254362,83.78426126416862
1998-06-01,1998-05-01,330,12,23.666666666666668,34.8926926447358,82.67673096342311
1998-12-01,1998-11-01,336,12,11.833333333333334,13.886444229295465,72.21367350359691
1999-06-01,1999-05-01,342,12,15.0,17.790446874657196,87.0698454253844
1999-12-01,1999-11-01,348,12,12.75,16.92877235163062,66.90224994494318
2000-06-01,2000-05-01,354,12,8.833333333333334,12.020815280171307,34.384339434761316
2000-12-01,2000-11-01,360,12,16.5,28.112867753634337,60.68534145816553
2001-06-01,2001-05-01,366,12,16.833333333333332,27.913557040740375,64.57448233800706
2001-12-01,2001-11-01,372,12,14.25,24.66272491027705,41.61300880579285
2002-06-01,2002-05-01,378,12,16.833333333333332,28.7981480886069,50.497948910375065
2002-12-01,2002-11-01,384,12,14.75,20.516253719104437,51.99359683956952
2003-06-01,2003-05-01,390,12,17.916666666666668,19.94784867264304,55.00289106426764
2003-12-01,2003-11-01,396,12,22.5,25.106440076867397,81.89889216676751
2004-06-01,2004-05-01,402,12,19.916666666666668,23.96699118927252,72.05016023164406
2004-12-01,2004-11-01,408,12,19.75,22.336442569636436,53.023268686684645
2005-06-01,2005-05-01,414,12,36.0,44.347115652166906,71.75270370915499
2005-12-01,2005-11-01,420,12,31.416666666666668,42.56465670013092,56.77909400746114
2006-06-01,2006-05-01,426,12,23.75,31.452344904633105,32.4557878403619
2006-12-01,2006-11-01,432,12,37.75,54.17179462906258,53.20572388925719
2007-06-01,2007-05-01,438,12,48.25,64.88130187760827,63.5971467294695
