region,forecast_dates,forecast_values
Australasia & Oceania,"['2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05', '2026-06', '2026-07', '2026-08', '2026-09', '2026-10', '2026-11', '2026-12', '2027-01', '2027-02', '2027-03', '2027-04', '2027-05', '2027-06', '2027-07', '2027-08', '2027-09', '2027-10', '2027-11', '2027-12', '2028-01', '2028-02', '2028-03', '2028-04', '2028-05', '2028-06', '2028-07', '2028-08', '2028-09', '2028-10', '2028-11', '2028-12', '2029-01', '2029-02', '2029-03', '2029-04', '2029-05', '2029-06', '2029-07', '2029-08', '2029-09', '2029-10', '2029-11', '2029-12', '2030-01', '2030-02', '2030-03', '2030-04', '2030-05', '2030-06', '2030-07', '2030-08', '2030-09', '2030-10', '2030-11']","[1.008629645672917, 1.6240273337954643, 1.835859133852757, 0.7787546704092136, 1.365224667916491, 1.167411495857254, 1.7110740957021509, 1.9611675200072913, 2.143540598613998, 1.6708463271877054, 1.4008601634877875, 1.092788678149426, 1.7254162958442443, 2.300583087681277, 1.666981714463811, 1.567973780690368, 1.1520224709570754, 0.8078095416831039, 1.1222018424382703, 1.947682599131327, 1.5808430592217857, 1.0658939116554222, 0.6453721348471412, 1.4345996905568634, 1.4931320113080764, 1.4876444830580138, 1.6761061777154942, 1.287622495534607, 1.588443630198895, 1.2734525649794377, 2.2339371822444796, 2.0765739584855245, 1.0345257287640046, 2.0656780798397034, 1.896834569675727, 2.4350604704612397, 1.6977182183243378, 1.8263983371480281, 1.881864100571484, 1.635007477462048, 1.8712812044719351, 1.9124496424853188, 1.3910588796968133, 0.9054583775209407, 1.2729713582218607, 1.841779436969133, 1.4892698322142086, 1.6594500778751975, 1.500208148110778, 1.557573847019408, 1.9929161610839228, 1.7649618329082188, 1.6700710219886046, 0.9726209118239456, 1.240985260393401, 1.0760367917824911, 1.7811692530562515, 1.8052973233784095, 1.641684142778369, 2.0335191053801047, 1.7512032169361702, 1.8829229934078602, 1.8890748938260309, 1.5645224185294653, 1.6445105500403094, 1.4911674088399731, 1.6768281303514392, 1.4687719648711854, 1.7190341356702448, 1.6381895067119288, 1.4926077604843382, 1.539465678269877, 2.089588662399798, 2.1771930001215716, 2.534429516592842, 2.8273502731828737, 2.195297946631768, 2.3877646843215925, 1.6520518675622222, 1.024719945222778, 1.328654879329073, 1.9663555408010387, 2.330804862160971, 2.0078102085660334, 2.3453602788585384, 2.1449012618353374, 2.1760891740901993, 2.0536651390106253, 1.8464800423838903, 1.6298554342406137, 1.405085188982526, 1.5734419021158772, 1.4466062828754487, 1.4165668893762562, 2.2848966452687467, 2.4021988801743057, 2.2453907311957115, 1.045451319491479, 1.865519162774452, 1.905039557543895, 2.459506035248252, 1.9788044175617379, 2.1133687394924228, 2.000490545738649, 1.7628560772664643, 1.9190251358975348, 1.9138170373239523, 1.5471526355993395, 1.4389845478417105, 1.2364656835319445, 1.5475042125938299, 2.1263616245122092, 2.333662294284698, 2.0972021412173483, 1.8799715478208974, 1.9816744993434643, 2.0274223700196146, 1.9240612586245402, 1.6951033697492623, 1.847383958516582, 2.4452444199940437, 2.2663027876106123, 1.51052558690269, 1.7771230852658622, 1.1232685856071765, 1.012736011108456, 1.0209043192018523, 1.3117681750919181, 1.5290391618832913, 2.6990398300686884, 2.461956434805251, 1.7856879059880173, 1.965245603174951, 1.9154862913759612, 1.3165846361872329, 0.8526130249701893, 1.1898882096282226, 1.3319215960660462, 1.1013994185012332, 1.71923157669158, 1.7568399042660632, 1.6188266271504739, 1.612615788662066, 2.143105943729263, 2.5728623762587386, 3.0034534742841377, 2.6442508264109814, 2.023954279219647, 2.0962462029934232, 1.491020200843395, 1.7608021220431809, 2.641150080538904, 2.4373525263503764, 2.4553351291560928, 2.7529102609164124, 3.1578597586232635]"
Central America & Caribbean,"['2017-10', '2017-11', '2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05', '2026-06', '2026-07', '2026-08', '2026-09', '2026-10', '2026-11', '2026-12', '2027-01', '2027-02', '2027-03', '2027-04', '2027-05', '2027-06', '2027-07', '2027-08', '2027-09', '2027-10', '2027-11', '2027-12', '2028-01', '2028-02', '2028-03', '2028-04', '2028-05', '2028-06', '2028-07', '2028-08', '2028-09', '2028-10', '2028-11', '2028-12', '2029-01', '2029-02', '2029-03', '2029-04', '2029-05', '2029-06', '2029-07', '2029-08', '2029-09', '2029-10', '2029-11', '2029-12', '2030-01', '2030-02', '2030-03', '2030-04', '2030-05', '2030-06', '2030-07', '2030-08', '2030-09']","[1.5722657066303367, 2.2793640329316007, 1.8734982468740844, 2.1598283155027835, 1.9811497281124257, 2.1065620228913047, 2.5758163290448106, 2.5217113503418496, 2.7625736892364388, 2.7017370170561645, 3.649052439744931, 4.233555096273571, 4.032428561112086, 4.560731562933095, 4.522776316478706, 4.147699417775859, 3.752510815195997, 3.8445072463315713, 3.7669443975945307, 3.904536293402591, 4.128572571147297, 4.369453704177176, 4.376774774905495, 4.300415176166688, 4.488058530986469, 4.673325364437957, 4.700640508639054, 4.244181288059204, 4.008665811806313, 4.24521472997966, 4.012052037052005, 3.9175427867794728, 4.320792566468391, 3.897957367680384, 4.133131230788833, 4.159356909612407, 4.352612183918019, 4.412327508767322, 5.100391693777478, 4.781078117369362, 4.248016192757552, 4.365015321397661, 4.129925969750166, 4.1415397513603835, 4.526667652240571, 4.056026500821544, 4.508606284278125, 4.425023465922419, 4.535130447261809, 4.358708432776429, 4.071957767339821, 4.424435831229758, 4.113026363076991, 4.173124563043382, 3.9711940568837063, 4.202431221150057, 4.45921302112413, 4.3239869021037665, 4.250026235098517, 4.528850800011298, 4.646346408615146, 4.547093287144475, 4.702223775107792, 4.328638951283323, 4.259380472118969, 4.196324689101928, 4.321589221499742, 3.923456166446026, 4.15635085502096, 4.2240332610566, 3.7475811967646178, 4.427664783161245, 5.182585031573064, 4.710083538566061, 5.231127281820031, 5.737663631221346, 5.747228205541072, 5.289638006107122, 4.866311047413892, 4.9736970244499155, 4.813305819389763, 4.963842555846471, 5.0341633988643615, 4.944365648830149, 5.07762698202343, 5.261448547158895, 4.8602182479843705, 4.766073873790041, 4.68616998690969, 4.671667080780276, 4.698143045753027, 4.731984727685687, 5.215786985138689, 5.041514997496663, 5.22045783937839, 5.368835721242004, 5.3990742009003965, 5.383732985177, 4.929705137889387, 4.929657725089011, 4.8024984349964965, 4.766240333432502, 4.772564592340127, 4.9181507666857405, 4.705802033480798, 4.788623869502839, 5.0169547335324, 5.1043030786333095, 5.3951313270028916, 5.409756723356439, 5.581817725912463, 5.043296121626139, 6.030005278660014, 4.869738811198775, 5.06767635625942, 5.091926788608183, 4.929392515172188, 5.010708977299841, 5.378499120550729, 5.396375877397268, 5.4830253882853786, 5.227614978228073, 6.215328218510424, 5.59043833670529, 5.645352523458118, 5.6430946883717095, 6.121443388214941, 5.924955479716874, 5.1894905437851415, 5.265749231483529, 5.051165153950425, 4.705898697353062, 5.5555302629307635, 5.361464189059179, 5.757585929725787, 5.943881325046173, 5.594309746424237, 5.294240571837214, 5.300991571656657, 5.105871713377007, 5.290644124707328, 5.7533954109442424, 5.5290099785354005, 5.657790930670733, 5.858882691015829, 5.625865698007008, 5.799211518962009, 6.634445328538753, 5.6932179027946175, 5.479849780103939, 5.436290334770983, 5.101651033993647, 5.176918866636106, 5.659478014190047, 5.46491607562117, 5.369006313976804]"
Central Asia,"['2017-10', '2017-11', '2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05', '2026-06', '2026-07', '2026-08', '2026-09', '2026-10', '2026-11', '2026-12', '2027-01', '2027-02', '2027-03', '2027-04', '2027-05', '2027-06', '2027-07', '2027-08', '2027-09', '2027-10', '2027-11', '2027-12', '2028-01', '2028-02', '2028-03', '2028-04', '2028-05', '2028-06', '2028-07', '2028-08', '2028-09', '2028-10', '2028-11', '2028-12', '2029-01', '2029-02', '2029-03', '2029-04', '2029-05', '2029-06', '2029-07', '2029-08', '2029-09', '2029-10', '2029-11', '2029-12', '2030-01', '2030-02', '2030-03', '2030-04', '2030-05', '2030-06', '2030-07', '2030-08', '2030-09']","[1.6106654935157743, 2.1247802141341747, 2.588867457926336, 2.6451290815085593, 2.3639950581373923, 3.323093591091627, 2.848345688340043, 3.049973808442406, 2.7287229637385555, 3.186971651185142, 3.3078115997723745, 3.086052166165067, 3.5616367579208994, 3.32032578607905, 3.1650367612485577, 3.2814112838494514, 2.5090920132064873, 2.648691792279561, 2.9824959585182267, 3.087672318756531, 3.4656803426570044, 3.4407291480018993, 3.3910923999916447, 3.61142690201939, 3.8531386743060954, 3.4800408870841424, 3.645626274121502, 3.216347549786315, 2.7468445269540007, 2.7286090075207032, 3.6047932806141634, 3.1953786300632228, 3.2197444492262393, 3.4896550005130615, 4.2113968088770575, 3.697854594743015, 3.6733550824788948, 3.1454131385870743, 3.296652671103887, 3.278021870622103, 3.0040106535059024, 3.159072461609878, 2.960630294335581, 3.2191326876711184, 3.532207885433521, 3.7207771943693912, 3.138996693179111, 3.3170420523769275, 3.7373338963070237, 3.2362737644922017, 3.5249259546397553, 3.3510002834649173, 2.9131153847804403, 2.9956594983013063, 3.411037478602385, 3.1100740923808248, 2.950187947960816, 2.9573793620160838, 3.948646298102579, 4.037809463065243, 4.153004746729362, 4.096898216898848, 3.7600218383116246, 3.5883423321662447, 3.2084617820805508, 3.210905491971977, 3.0955445001046593, 3.2903872393165496, 3.1883546740928805, 3.3345080976272796, 3.3861251373391137, 3.103788365385873, 3.279585339107704, 3.6881243632696803, 3.24021053269279, 3.7382688242675255, 3.9412477197997724, 4.0451613385879925, 3.5423338283046784, 3.101394822072489, 3.752469953429962, 3.891774725450211, 3.5659323566418433, 3.6086125950767443, 3.436930637733409, 3.637545757164996, 3.4033875328983814, 3.885192890051182, 3.683473891300097, 3.2675014124134725, 3.295494087171492, 3.713067294718039, 3.3510271280047954, 3.7741200944483024, 3.846840806346814, 3.265207849222489, 3.664837875084275, 4.062838874214437, 3.8475716695622872, 3.9635241922282263, 3.8461148514253813, 3.673354987623851, 4.1400982013446, 3.5203922336779367, 3.503984977435802, 3.1821164794399683, 3.9412029166019202, 3.668440021976348, 3.8993579975473573, 4.13261044742031, 3.886350823159102, 4.090684211080487, 3.6741640533562743, 3.5893494305496128, 3.294105373297197, 3.14304897693164, 3.873506852219882, 4.574843545741939, 4.612492703494752, 4.435933421105043, 4.10716735294798, 4.03874604963519, 3.878375265075376, 3.7020257339611526, 4.277805951255957, 3.64533073767543, 3.1599052381232435, 3.3862531861313374, 3.424296440236497, 4.035862924252989, 3.7476670274082733, 4.022326208134496, 4.254819596207312, 3.96667323723158, 3.538511329491298, 3.7379155769096277, 4.413811600669237, 3.7419781987163594, 3.871552265666877, 3.8375349572922985, 3.5279051803649857, 3.909315863902565, 5.048964918697231, 4.667072012234476, 4.184851595820862, 4.216139023943993, 3.612663454375273, 3.925421112757012, 5.170008599372183, 4.482942635198754, 3.9818762739960274, 3.98372301296929, 3.7381217446238932, 3.8018307251010324, 4.095994388342698, 3.688545035936911]"
East Asia,"['2017-10', '2017-11', '2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05', '2026-06', '2026-07', '2026-08', '2026-09', '2026-10', '2026-11', '2026-12', '2027-01', '2027-02', '2027-03', '2027-04', '2027-05', '2027-06', '2027-07', '2027-08', '2027-09', '2027-10', '2027-11', '2027-12', '2028-01', '2028-02', '2028-03', '2028-04', '2028-05', '2028-06', '2028-07', '2028-08', '2028-09', '2028-10', '2028-11', '2028-12', '2029-01', '2029-02', '2029-03', '2029-04', '2029-05', '2029-06', '2029-07', '2029-08', '2029-09', '2029-10', '2029-11', '2029-12', '2030-01', '2030-02', '2030-03', '2030-04', '2030-05', '2030-06', '2030-07', '2030-08', '2030-09']","[2.575671848682708, 2.9108109469336068, 3.589661219952806, 3.2266710675049532, 3.1024670481755505, 3.0167561654936286, 3.175463214495172, 3.3828135580175194, 3.924977387739801, 4.5047269489385435, 5.102122844518312, 5.141980560903735, 5.468113151678001, 5.900148242223753, 5.3288702974716236, 6.993767413954753, 7.733249786964065, 6.8596108315557265, 6.083863888605499, 6.493203072999764, 6.7385484444467165, 6.865353598524049, 7.3710394001108, 6.570975315037225, 6.322615186131939, 7.101120583359274, 6.726331249348607, 6.818618785565197, 6.419220837852574, 5.920718131441453, 5.94712697964026, 5.95921588760798, 5.833809670778273, 6.561657003584647, 6.84298093580011, 6.860090042746606, 6.8026261024151, 6.82940145715515, 6.531077162963612, 6.452384541960663, 6.471230720117799, 6.263418399415221, 5.645465048123204, 5.8780564138014295, 6.3421054182427365, 6.943315223436057, 6.929677283788819, 6.666071742046776, 6.938600413138747, 7.4614329794781264, 6.999772008261873, 6.366720870078802, 5.9211119543495645, 5.728670100409112, 5.706657528920456, 5.958493311334854, 7.647932398640818, 7.4671583557481345, 7.134281185748443, 7.295437773467539, 7.486392556104864, 7.4053374007956965, 6.9560218723814655, 6.523669069351953, 6.261951134121572, 6.449215217599477, 6.0808364198642755, 6.087982443874648, 6.491596343039374, 7.174042649884966, 7.276957149545822, 6.981790549834695, 7.0701529191688035, 7.445045128614268, 7.482632636427095, 7.59954667136243, 7.116049964527388, 6.273171034884815, 6.006991557535074, 6.592819409872098, 6.299149911011621, 6.998262356903815, 7.215094360954651, 7.443193056256733, 7.375292473159774, 7.013033224596467, 6.842570273632898, 7.082419509240498, 7.210160661194158, 7.657652904835265, 6.966178456724882, 6.292391847178496, 7.035099524445361, 7.524063289656256, 8.19214396118102, 6.923209368962632, 7.083837009524182, 7.57965472555275, 7.624968500228633, 6.516941023502838, 7.261029664233127, 7.318151784599381, 6.965117871610652, 7.143771504379283, 7.52204356434657, 7.162436651406216, 7.514321622073662, 7.981581164874924, 7.728931164498187, 7.756155649086126, 7.715172891402774, 7.187888909423545, 7.059157169247857, 6.743936750818936, 6.372987636442608, 6.564471836209929, 8.297686197817418, 7.37367996309487, 7.993574554317845, 7.303821739782119, 7.498615075291941, 7.898999093590572, 7.671484268650318, 6.826186145844503, 6.6405179482696335, 6.509223615351812, 6.3029865416157795, 6.63344426590974, 6.782147108706015, 6.877219037038142, 7.521449670175878, 7.988528106900111, 8.29708223384548, 7.682532280522039, 8.811952664380724, 8.541835913799197, 8.074708555229261, 7.523910019424495, 7.4602077175637715, 6.393092005772602, 6.59061197586326, 7.344833233648961, 7.614881875377579, 8.277987461041608, 7.972656424456044, 8.382657919930928, 8.64110578148659, 7.649968084482844, 7.423175025773057, 6.973027589590778, 6.8238005655289715, 7.390091634592045, 7.49420540412572, 7.966051531057524, 7.498234986995752, 8.336120349986352]"
Eastern Europe,"['2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05', '2026-06', '2026-07', '2026-08', '2026-09', '2026-10', '2026-11', '2026-12', '2027-01', '2027-02', '2027-03', '2027-04', '2027-05', '2027-06', '2027-07', '2027-08', '2027-09', '2027-10', '2027-11', '2027-12', '2028-01', '2028-02', '2028-03', '2028-04', '2028-05', '2028-06', '2028-07', '2028-08', '2028-09', '2028-10', '2028-11', '2028-12', '2029-01', '2029-02', '2029-03', '2029-04', '2029-05', '2029-06', '2029-07', '2029-08', '2029-09', '2029-10', '2029-11', '2029-12', '2030-01', '2030-02', '2030-03', '2030-04', '2030-05', '2030-06', '2030-07', '2030-08', '2030-09', '2030-10', '2030-11']","[7.492484904665377, 7.998493816651834, 7.255763678762547, 8.415415969945908, 8.36476193763043, 8.581409773209211, 6.743572328310982, 8.96490430720211, 11.240529186463242, 10.174735314020277, 9.241817998027361, 9.253970757807151, 10.0594618724858, 9.87850243291612, 9.712666978326293, 9.975574702166515, 10.198554102484433, 10.407162967920687, 10.792159601870088, 9.135745092031476, 7.9905294122395905, 8.39330232880826, 8.183221885359224, 9.365745693490261, 10.579945699751464, 10.464749173745592, 10.347323987619852, 10.683867495621467, 11.245234110409816, 11.577373971398913, 9.070095421194635, 9.805711785997255, 9.359571945969096, 9.79176135421651, 8.591622204377432, 8.833524837694274, 10.173485780925446, 10.268407127022341, 10.055688733698801, 11.796805337164617, 12.221813580180147, 11.78901411463663, 12.404745887396667, 12.974520591802492, 13.721996117921869, 10.71105249865844, 11.881585518906492, 11.69022876007212, 12.708583725052996, 15.136438261014916, 13.209233129752516, 12.017238960865164, 12.000985937125103, 13.62843615361468, 13.259000680649386, 12.14440360674602, 13.57054486442207, 10.728350271228434, 12.285054890978763, 12.75749652017623, 12.946261691545056, 14.30080295668704, 13.54465621718114, 13.023983919621081, 12.196204325633385, 11.121034068224391, 11.019891542081169, 12.250059358425993, 12.157035100386066, 13.502595721181887, 13.490134638893887, 13.718227067340603, 13.59732404130232, 15.181416353444972, 13.82687470634807, 15.433646325954147, 13.51864975474097, 13.99970633276251, 13.68927715435282, 12.495699666645478, 14.266375608976118, 13.25806637210065, 13.438877524254153, 13.887019899550491, 13.793592898056858, 13.934974138318355, 14.69196420681185, 12.93128590352502, 14.676539014122264, 12.839777803175496, 12.836464065696147, 11.024310066409727, 12.267317617438266, 12.385655366747446, 13.36418352768098, 12.416294050492734, 13.319571120777159, 15.810559410042188, 16.228219675443714, 15.768866516461978, 13.502215578756307, 14.761477436234012, 12.492533963664764, 14.13154665379244, 14.672999515887623, 14.84642573424907, 13.736566363697875, 15.008600463928627, 15.50466243551756, 14.890383447143158, 18.017893159598817, 14.864285003216182, 16.526440931082718, 15.846072060702308, 14.40954336929236, 12.862373746130752, 11.337744303122063, 13.903310488680637, 14.251138363443662, 13.835672142808159, 14.025395395271056, 13.999595350173346, 13.58961253256658, 13.28562066213361, 13.813027226181347, 13.370664602981206, 12.765307564338205, 14.519009122139154, 14.725994013880408, 15.31656572239926, 14.878037278183914, 16.0491772757595, 15.69363408181704, 16.61536166967328, 16.208594938446556, 17.31341339006101, 14.982067999430683, 15.01131950848067, 13.804496331321456, 13.419426912986237, 14.114825448047204, 14.016190580655051, 16.451310754911635, 17.016349566397952, 16.232784258275426, 17.473664906153676, 18.071886094103412, 19.16223665873124, 16.44446241586695, 16.300448117580302, 16.428623644339723, 16.28133516797863, 16.851973727258024, 18.213277865106637, 20.546246644586226, 23.249077275113223]"
