region,mae,rmse,smape
Australasia & Oceania,0.08808119097477017,0.205321951759088,45.73654264161745
Central America & Caribbean,0.02541697854861268,0.13931393562581862,26.423444676667664
Central Asia,0.06835940482030617,0.15190652133583385,33.989972092912254
East Asia,0.0421813043954376,0.08289575668977249,19.301875935260497
Eastern Europe,0.8738339503559973,1.8402559560631642,3.4615819951376534
Middle East & North Africa,69.0404719669822,83.3897528246072,14.627456380156737
North America,1.0238282374280898,1.3658008296801132,16.750123092563506
South America,5.347381844875522,6.117251043894819,29.981853848600316
South Asia,55.698227594779986,62.57408904915793,15.761266695426922
Southeast Asia,22.124390466022263,25.6958603217602,29.387025161488733
Sub-Saharan Africa,6.9864180283783694,8.074287914384167,4.170774772990928
Western Europe,2.944455504663659,3.903978023388671,12.25258022417691
